TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" A PRIMEIRA MISSA""";;01010100800020140;07/03/2014;11/03/2014;EXPIRADO;B1301902100000;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;92;2013;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL BRASILEIRA;CRYSTAL CINEMATOGRÁFICA LTDA;287;30.510.135/0001-68;RJ;RIO DE JANEIRO
""" A PRIMEIRA MISSA""";;04010104117520149;24/06/2014;27/06/2014;EXPIRADO;B1301902100000;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;92;2013;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;CRYSTAL CINEMATOGRÁFICA LTDA;287;30.510.135/0001-68;RJ;RIO DE JANEIRO
""" A PRIMEIRA MISSA""";;05010104121520142;24/06/2014;27/06/2014;EXPIRADO;B1301902100000;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;92;2013;;OUTROS MERCADOS;OBRA AUDIOVISUAL BRASILEIRA;CRYSTAL CINEMATOGRÁFICA LTDA;287;30.510.135/0001-68;RJ;RIO DE JANEIRO
"""55S4"" - A VIRADA";;03020105899520140;01/08/2014;04/08/2014;EXPIRADO;B1301847300000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;26;2013;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;FRANCISCO RAMALHO JUNIOR FILMES LTDA;137;52.308.558/0001-32;SP;SÃO PAULO
"""A VIDA NÃO BASTA""";;01010101499520140;09/04/2014;11/04/2014;EXPIRADO;B1402073000000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;85;2013;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL BRASILEIRA;VILA PRODUCOES AUDIOVISUAIS LTDA ME;22608;11.968.533/0001-88;SP;SÃO PAULO
"""ESSA SOU EU"" VIDEOCLIPE";;04030100449920144;04/02/2014;05/02/2014;EXPIRADO;B1402080600000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;2,8;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;REAL FILMES & PRODUCOES LTDA;17303;10.368.669/0001-94;SP;ITAPEVI
"""HIV, E DAÍ ?""";;03030098629520138;19/12/2013;14/01/2014;EXPIRADO;B1302035100000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;13,3;2013;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;QUERO FILMES LTDA - ME;15100;09.350.378/0001-90;SP;SANTOS
"""MAS HOJE NÃO É QUINTA-FEIRA""";;2014086429000002;30/09/2014;14/10/2014;EXPIRADO;B1402363800000;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;62;2014;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;EDISON DE FARIAS;27698;PESSOA FÍSICA;SP;SÃO PAULO
#;;04030104289520146;26/06/2014;21/07/2014;EXPIRADO;B1201631800000;ANIMAÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;8,8;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;IMAN - IMAGENS ANIMADAS LTDA;295;02.727.130/0001-56;RJ;RIO DE JANEIRO
(A)SEXUAL;(A)SEXUAL;04010097797720136;18/11/2013;08/01/2014;EXPIRADO;E1300000100000;DOCUMENTÁRIO;;ESTRANGEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;ESTADOS UNIDOS;NÃO SERIADA;88;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
