TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" STEVENS - JAM SESSIONS""";B1101500000000;22/09/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;14,2;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""...AQUELAS MULHERES...""";B1101355500000;24/01/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;19,9;;2010;;INDEFINIDO;NÃO;VERENA BEZERRA CARDOSO;PESSOA FÍSICA;RJ;RIO DE JANEIRO
"""4 MIL HORAS""";B1101499400000;22/09/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4,0;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""A CORUJA E O CORAÇÃO""";B1101499600000;22/09/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4,3;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""BRASIL CLÁSSICO CAIPIRA""";B1101503500000;23/09/2011;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;130;5;2010;2010;INDEFINIDO;NÃO;MERCADO CULTURAL LTDA EPP;03.093.490/0001-06;DF;BRASILIA
"""COMEÇO""";B1101499900000;22/09/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3,9;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""DE MAIS NINGUÉM""";B1101499500000;22/09/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4,0;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""LOUCURA BEM RESOLVIDA""";B1101448200000;30/06/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4,7;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""MUITO EM MIM""";B1101448300000;30/06/2011;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3,4;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""NÃO CUSTA TENTAR""";B1101499300000;22/09/2011;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2010;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
