TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""AT THE END""";B1500606300000;06/08/2015;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,1;;2014;;NENHUMA DAS OPÇÕES;NÃO;TATANKA FILMS LTDA. - ME;10.429.569/0001-20;SP;SAO PAULO
"""CORONÉIS DE GERTRUDES""";B1500315100000;23/04/2015;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19,9;;2015;;NENHUMA DAS OPÇÕES;NÃO;LETICIA MARIA TONON;PESSOA FÍSICA;SP;SANTA GERTRUDES
"""MULTISHOW AO VIVO - DOIS AMIGOS, UM SÉCULO DE MÚSICA - CAETANO VELOSO E GILBERTO GIL""";B1500928500000;18/12/2015;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;103;;2015;;NENHUMA DAS OPÇÕES;NÃO;UNS E OUTROS PRODUCOES E FILMES LTDA;04.595.226/0001-33;RJ;RIO DE JANEIRO
"""RAIO DE SOL"" - VIDEOCLIPE OFICIAL - BANDA JAMIRULUS (MOTIOM PV)";B1500843100000;11/11/2015;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,2;;2015;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;MOTIOM PRODUCOES VISUAIS LTDA;18.726.393/0001-80;SP;SAO PAULO
"""TCHAU MEU BEM""";B1500099300000;28/01/2015;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""TOCA AÍ UM JOÃO MINEIRO E MARCIANO""";B1500455500000;10/06/2015;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,9;;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TELO PRODUÇÕES ARTÍSTICAS LTDA;11.412.556/0001-01;MS;CAMPO GRANDE
#AC AO VIVO;B1500132300000;10/02/2015;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;78,5;;2014;;VIDEO DOMÉSTICO;NÃO;ARMAZEM PRODUTORA E EDITORA LTDA;04.859.093/0001-65;RJ;RIO DE JANEIRO
#COPANARUA;B1500093800000;23/01/2015;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,1;;2014;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;MULTIPHOCUS & CASANOVA ARTE & COMUNICACAO LTDA;14.892.714/0001-66;RJ;RIO DE JANEIRO
#ENEMNOFUTURA;B1500770700000;09/10/2015;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;100;20;2015;2015;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
#GAROTAS;B1500311000000;20/04/2015;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;110;;2014;;SALAS DE EXIBIÇÃO;NÃO;ACCORDE FILMES LTDA.;05.270.790/0001-49;RS;PORTO ALEGRE
