Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2017;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;194.978,84;1.447.992,44;2.048.163,89;5.297.145,20;184.847,27;3.085.281,41;362.172,79;244.067,79;2.662.046,84;316.013,34;187.670,36;296.147,09;16.326.527,26
Condecine-Títulos;5.527.708,53;6.909.811,46;9.059.624,01;7.599.030,53;9.697.280,14;7.782.817,36;8.782.330,97;8.865.381,69;7.676.792,17;7.464.049,27;6.179.927,14;8.237.327,31;93.782.080,58
Condecine-Teles;52.092,51;27.972,54;1.020.480.512,07;1.372.603,03;273.943,69;107.399,77;92.586,64;105.724,67;114.085,49;59.363,27;66.155,37;34.502,56;1.022.786.941,61
Dívida Ativa;41.144,01;10.090,46;10.236,72;20.097,47;10.182,95;21.832,04;38.903,06;30.136,56;45.876,44;51.965,80;130.401,67;47.830,41;458.697,59
;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;136.485,19;1.013.594,71;1.433.714,72;3.708.001,64;129.393,09;2.159.696,99;253.520,95;170.847,45;1.863.432,79;221.209,34;131.369,25;207.302,96;11.428.569,08
Condecine-Títulos;3.869.395,97;4.836.868,02;6.341.736,81;5.319.321,37;6.788.096,10;5.447.972,15;6.147.631,68;6.205.767,18;5.373.754,52;5.224.834,49;4.325.949,00;5.766.129,12;65.647.456,41
Condecine-Teles;36.464,76;19.580,78;714.336.358,45;960.822,12;191.760,58;75.179,84;64.810,65;74.007,27;79.859,84;41.554,29;46.308,76;24.151,79;715.950.859,13
Dívida Ativa;28.800,85;7.063,35;7.165,73;14.068,28;7.128,11;15.282,49;27.232,20;21.095,72;32.113,61;36.376,13;91.281,28;33.481,40;321.089,15
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.  ;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;
Fonte: Tesouro Gerencial, dados extraídos em 13/05/2019.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 27/06/2019.;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;
