Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2022;;;;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;
Condecine-Remessa;-11.518.200,66;84.094,20;317.996,87;115.865,95;127.981,41;393.074,80;96.844,13;272.895,34;95.981,89;257.127,81;112.026,70;768.029,27;-8.876.282,29;;;
Condecine-Títulos;5.238.664,90;6.134.389,59;7.731.377,16;6.915.878,39;6.899.470,75;9.165.980,26;7.576.983,30;7.977.773,07;10.420.243,57;8.520.159,24;7.260.394,63;8.787.374,17;92.628.689,03;;;
Condecine-Teles;3.386.371,03;3.384.199,17;851.194.161,27;186.097.702,29;113.219,67;3.691.973,43;329.119,71;210.630,41;699.322,15;27.469,05;5.136.857,33;5.615.405,96;1.059.886.431,47;;;
Dívida Ativa;91.461,02;99.380,33;95.560,19;62.286,56;69.150,26;58.353,76;85.881,35;107.973,25;159.544,52;171.885,99;98.591,33;81.959,96;1.182.028,52;;;
;;;;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;
Condecine-Remessa;-8.063.899,67;58.921,34;222.611,10;81.111,86;89.577,47;275.158,06;68.107,01;191.026,74;67.212,52;179.995,17;78.407,29;537.620,49;-6.214.150,62;;;
Condecine-Títulos;3.667.065,68;4.294.073,00;5.411.964,27;4.841.115,16;4.829.629,75;6.416.186,48;5.303.888,52;5.584.441,46;7.294.170,74;5.964.111,67;5.082.276,58;6.151.162,18;64.840.085,49;;;
Condecine-Teles;2.370.460,17;2.368.939,57;595.835.913,09;130.268.391,79;79.253,93;2.584.381,60;230.383,95;147.441,42;489.525,59;19.228,43;3.595.800,26;3.930.784,28;741.920.504,08;;;
Dívida Ativa;64.022,87;69.566,36;66.892,26;43.600,75;48.405,31;40.847,77;60.117,09;75.581,45;111.681,36;120.320,34;69.014,09;57.372,16;827.421,81;;;
;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;;;;
4. A partir do exercício de 2021, os valores informados são aqueles exatos, de acordo com os dados extraidos do SIAFI, e não mais estimados, como informado acima, em anos anteriores.;;;;;;;;;;;;;;;;
5. Em janeiro de 2022 foram registradas deduções no total de R$ 11.652.715,61 na arrecadação da Condecine-Remessa, que superaram o montante recolhido em todo o exercício, acarretando em valor negativo.;;;;;;;;;;;;;;;;
6. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Fonte: Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 25/05/2023.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 25/05/2023.;;;;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;;;;
