Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2024;;;;;;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;;;
Condecine-Remessa;336.343,99;329.572,93;267.474,53;129.066,60;104.410,70;633.018,24;160.226,36;17.582.035,99;22.825.834,06;220.668,02;654.230,06;453.395,84;43.696.277,32;;;;;
Condecine-Títulos;5.700.667,97;6.487.959,31;7.467.246,06;8.013.399,49;9.224.359,15;9.555.315,49;7.390.901,70;7.567.288,71;7.997.796,19;8.476.560,62;6.919.562,28;5.882.632,36;90.683.689,33;;;;;
Condecine-Teles;6.096.012,91;3.091.804,30;1.031.016.927,16;7.305.080,61;3.275.451,34;3.229.231,18;3.265.214,92;3.219.718,38;3.277.165,33;3.268.911,51;3.315.727,76;3.320.041,68;1.073.681.287,08;;;;;
Dívida Ativa;112.828,53;175.816,57;107.128,58;118.200,86;83.697,52;313.354,81;120.266,82;147.827,21;152.688,96;185.810,36;91.402,16;119.839,51;1.728.861,89;;;;;
;;;;;;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;;;
Condecine-Remessa;235.440,79;230.701,05;187.248,47;90.359,00;73.099,87;443.112,77;112.289,57;12.307.425,19;15.978.083,84;154.798,70;457.961,05;320.591,63;30.591.111,93;;;;;
Condecine-Títulos;3.990.467,87;4.541.571,70;5.227.072,47;5.609.379,90;6.457.052,03;6.688.721,06;5.173.631,39;5.297.102,27;5.598.457,62;5.933.592,67;4.843.693,76;4.117.842,96;63.478.585,70;;;;;
Condecine-Teles;4.267.209,17;2.164.263,08;721.711.849,19;5.113.556,61;2.292.816,11;2.260.461,92;2.285.650,52;2.253.802,92;2.294.015,83;2.288.238,14;2.321.009,51;2.324.029,28;751.576.902,28;;;;;
Dívida Ativa;78.980,15;123.071,79;74.990,17;82.740,74;58.588,43;219.348,55;84.186,93;103.479,24;106.882,46;130.067,36;63.981,67;83.887,84;1.210.205,33;;;;;
;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;;;;;;
4. A partir do exercício de 2021, os valores informados são aqueles exatos, de acordo com os dados extraidos do SIAFI, e não mais estimados, como informado acima, em anos anteriores.;;;;;;;;;;;;;;;;;;
5. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fonte: Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 16/01/2025.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG, a partir das informações fornecidas pela Gerência de Finanças e Orçamento - GFO/SGI.  Publicado em 17/01/2025.;;;;;;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;;;;;;
