Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2023;;;;;;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;;;
Condecine-Remessa;927.365,63;113.109,41;63.408,51;84.081,79;144.626,71;201.162,84;403.149,25;189.290,65;113.597,37;611.132,74;1.373.430,31;208.072,66;4.432.427,87;;;;;
Condecine-Títulos;6.470.250,62;4.709.467,58;9.733.254,06;6.458.904,34;8.009.021,23;10.191.877,69;6.916.199,56;8.732.587,66;8.197.362,36;7.231.007,96;7.999.045,87;6.460.482,08;91.109.461,01;;;;;
Condecine-Teles;40.144,60;2.822.895,03;1.042.292.670,66;5.755.387,04;150.842,86;5.764.258,87;2.992.942,64;2.961.729,79;3.026.792,65;2.991.547,79;3.036.697,34;98.319,45;1.071.934.228,72;;;;;
Dívida Ativa;83.078,15;115.064,26;120.123,74;96.562,35;137.591,30;121.948,08;299.259,62;204.539,59;138.097,68;183.593,01;201.997,03;135.178,90;1.837.033,71;;;;;
;;;;;;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total;;;;;
Condecine-Remessa;649.155,94;79.294,35;44.268,20;58.857,25;101.297,82;140.813,99;282.204,47;132.503,45;79.518,16;427.792,92;962.510,67;145.650,86;3.103.868,08;;;;;
Condecine-Títulos;4.529.175,67;3.296.627,55;6.813.278,13;4.521.233,25;5.606.315,06;7.134.314,69;4.841.339,91;6.112.811,58;5.738.153,87;5.061.705,83;5.599.332,30;4.522.337,69;63.776.625,53;;;;;
Condecine-Teles;28.101,30;1.976.026,63;729.604.869,65;4.028.771,09;105.590,11;4.034.981,35;2.095.060,00;2.073.211,03;2.118.754,97;2.094.083,53;2.125.688,23;68.823,73;750.353.961,62;;;;;
Dívida Ativa;58.154,86;80.545,11;84.086,82;67.593,77;96.314,12;85.363,82;209.481,88;143.177,96;96.668,62;128.515,31;141.398,11;94.625,45;1.285.925,83;;;;;
;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;;;;;;
4. A partir do exercício de 2021, os valores informados são aqueles exatos, de acordo com os dados extraidos do SIAFI, e não mais estimados, como informado acima, em anos anteriores.;;;;;;;;;;;;;;;;;;
5. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fonte: Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 10/01/2024.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 16/01/2024.;;;;;;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;;;;;;
