Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;280.590,51;286.578,94;389.889,63;258.672,96;3.096.880,26;5.978.013,90;7.802.429,07;7.362.422,84;296.573,69;101.162,21;1.577.605,51;187.848,47;27.618.668,00
Condecine-Títulos;6.333.305,47;7.334.892,51;7.552.361,24;8.672.781,27;7.775.385,64;6.256.984,63;7.129.453,19;7.887.088,14;7.400.695,99;7.730.706,74;7.593.706,79;7.168.292,61;88.835.654,23
Condecine-Teles;82.567,51;18.599,99;542.734.046,61;400.498.635,03;169.521,03;94.816,54;59.404,91;49.215,27;37.100,01;32.445,40;65.327,29;35.380,67;943.877.060,27
Dívida Ativa;98.915,66;97.656,49;88.752,64;80.008,57;66.045,93;115.610,83;87.932,20;61.194,84;83.307,39;68.433,81;83.979,16;72.107,30;1.003.944,81
;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;196.413,36;200.605,26;272.922,74;181.071,07;2.167.816,18;4.184.609,73;5.461.700,35;5.153.695,99;207.601,58;70.813,55;1.104.323,86;131.493,93;19.333.067,60
Condecine-Títulos;4.433.313,83;5.134.424,76;5.286.652,87;6.070.946,89;5.442.769,95;4.379.889,24;4.990.617,23;5.520.961,70;5.180.487,19;5.411.494,72;5.315.594,75;5.017.804,83;62.184.957,96
Condecine-Teles;57.797,26;13.019,99;379.913.832,63;280.349.044,52;118.664,72;66.371,58;41.583,44;34.450,69;25.970,01;22.711,78;45.729,10;24.766,47;660.713.942,19
Dívida Ativa;69.240,96;68.359,54;62.126,85;56.006,00;46.232,15;80.927,58;61.552,54;42.836,39;58.315,17;47.903,67;58.785,41;50.475,11;702.761,37
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.  ;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fonte:  Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 28/01/2020.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 05/02/2020.;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;
