Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;401.622,47;650.744,01;702.772,27;702.352,97;510.146,40;589.428,30;171.289,84;502.001,81;1.778.175,73;295.438,74;975.867,39;401.385,76;7.681.225,70
Condecine-Títulos;4.854.877,61;5.402.081,33;8.601.786,64;5.928.752,04;7.550.909,41;4.894.132,40;9.621.505,34;8.964.440,24;8.855.708,27;7.341.981,47;11.047.500,34;6.659.262,60;89.722.937,71
Condecine-Teles;43.730,63;38.187,91;9.588.389,80;871.640,26;76.026,16;47.210,73;52.118,93;763.241.521,83;3.293.780,57;3.232.385,01;3.273.364,33;3.317.637,57;787.075.993,73
Dívida Ativa;60.848,87;39.683,81;35.105,27;39.596,93;46.213,51;45.141,34;62.539,16;40.276,73;51.508,59;46.514,66;159.958,16;43.599,24;670.986,27
;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;281.135,73;455.520,81;491.940,59;491.647,08;357.102,48;412.599,81;119.902,89;351.401,27;1.244.723,01;206.807,12;683.107,17;280.970,03;5.376.857,99
Condecine-Títulos;3.398.414,33;3.781.456,93;6.021.250,65;4.150.126,43;5.285.636,59;3.425.892,68;6.735.053,74;6.275.108,17;6.198.995,79;5.139.387,03;7.733.250,24;4.661.483,82;62.806.056,40
Condecine-Teles;30.611,44;26.731,54;6.711.872,86;610.148,18;53.218,31;33.047,51;36.483,25;534.269.065,28;2.305.646,40;2.262.669,51;2.291.355,03;2.322.346,30;550.953.195,61
Dívida Ativa;42.594,21;27.778,67;24.573,69;27.717,85;32.349,46;31.598,94;43.777,41;28.193,71;36.056,01;32.560,26;111.970,71;30.519,47;469.690,39
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fonte:  Sistema Integrado de Administração Financeira do Governo Federal - SIAFI  e Tesouro Gerencial, dados extraídos em 23/02/2021.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 24/02/2021.;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;
