Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2015;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;327.621,70;186.696,58;173.303,30;161.900,13;162.788,15;3.651.755,45;862.492,59;269.378,45;2.539.840,51;1.028.105,40;147.903,83;146.452,86;9.658.238,95
Condecine-Títulos;5.038.089,00;6.485.888,13;8.892.738,11;10.032.729,28;8.953.324,25;6.128.798,74;10.622.105,11;8.332.348,75;8.402.184,49;10.292.817,63;9.923.217,79;9.073.754,86;102.177.996,14
Condecine-Teles;5.066,85;19.792,81;930.336.954,46;215.592,89;100.667,16;18.248.186,80;-17.889,78;19.146,44;97.528,59;78.749,44;551.314,44;295.951,73;949.951.061,83
Dívida Ativa;4.142,67;3.020,98;8.467,94;2.673,43;8.806,30;7.511,46;12.949,47;10.848,48;10.779,99;10.657,82;14.939,54;17.816,44;112.614,52
;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;262.097,36;149.357,26;138.642,64;129.520,10;130.230,52;2.921.404,36;689.994,07;215.502,76;2.031.872,41;822.484,32;118.323,06;117.162,29;7.726.591,15
Condecine-Títulos;4.030.471,20;5.188.710,50;7.114.190,49;8.026.183,42;7.162.659,40;4.903.038,99;8.497.684,09;6.665.879,00;6.721.747,59;8.234.254,10;7.938.574,23;7.259.003,89;81.742.396,90
Condecine-Teles;4.053,48;15.834,25;744.269.563,57;172.474,31;80.533,73;14.598.549,44;-14.311,82;15.317,15;78.022,87;62.999,55;441.051,55;236.761,38;759.960.849,46
Dívida Ativa;3.314,19;2.416,83;6.774,38;2.138,80;7.045,06;6.010,23;10.359,65;8.682,78;8.626,11;8.526,27;11.951,67;14.253,20;90.099,17
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.  ;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;
Fonte: Tesouro Gerencial, dados extraídos em 13/05/2019.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 27/06/2019.;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;
